=== Exact Rules (ER) ===
Rule: 30 => 39 (support: 4, confidence: 1.0)
Rule: 0 => 48 (support: 3, confidence: 1.0)
Rule: 47 => 38 (support: 4, confidence: 1.0)
Rule: 52 => 48 (support: 3, confidence: 1.0)
Rule: 55 => 38 (support: 5, confidence: 1.0)
Rule: 67 => 48 (support: 3, confidence: 1.0)
Rule: 73 => 48 (support: 3, confidence: 1.0)
Rule: 96 => 39 (support: 3, confidence: 1.0)
Rule: 105 => 38 (support: 13, confidence: 1.0)
Rule: 110 => 38 (support: 33, confidence: 1.0)
Rule: 151 => 32 (support: 3, confidence: 1.0)
Rule: 175 => 48 (support: 3, confidence: 1.0)
Rule: 213 => 48 (support: 3, confidence: 1.0)
Rule: 215 => 48 (support: 3, confidence: 1.0)
Rule: 229 => 48 (support: 6, confidence: 1.0)
Rule: 236 => 39 (support: 4, confidence: 1.0)
Rule: 255 => 48 (support: 16, confidence: 1.0)
Rule: 281 => 38 (support: 6, confidence: 1.0)
Rule: 282 => 48 (support: 4, confidence: 1.0)
Rule: 370 => 38 (support: 5, confidence: 1.0)
Rule: 390 => 48 (support: 3, confidence: 1.0)
Rule: 392 => 48 (support: 3, confidence: 1.0)
Rule: 393 => 41 (support: 3, confidence: 1.0)
Rule: 398 => 39 (support: 4, confidence: 1.0)
Rule: 32 36 => 38 (support: 5, confidence: 1.0)
Rule: 32 37 => 38 (support: 4, confidence: 1.0)
Rule: 423 => 48 (support: 3, confidence: 1.0)
Rule: 2 41 => 39 (support: 3, confidence: 1.0)
Rule: 36 41 => 38 (support: 12, confidence: 1.0)
Rule: 30 41 => 39 (support: 3, confidence: 1.0)
Rule: 31 41 => 39 (support: 4, confidence: 1.0)
Rule: 18 48 => 39 (support: 4, confidence: 1.0)
Rule: 36 48 => 38 (support: 13, confidence: 1.0)
Rule: 37 48 => 38 (support: 7, confidence: 1.0)
Rule: 586 => 39 (support: 3, confidence: 1.0)
Rule: 39 55 => 38 (support: 4, confidence: 1.0)
Rule: 596 => 48 (support: 3, confidence: 1.0)
Rule: 48 55 => 38 (support: 3, confidence: 1.0)
Rule: 56 => 39 48 (support: 4, confidence: 1.0)
Rule: 615 => 48 (support: 3, confidence: 1.0)
Rule: 623 => 48 (support: 3, confidence: 1.0)
Rule: 639 => 39 (support: 3, confidence: 1.0)
Rule: 713 => 39 (support: 3, confidence: 1.0)
Rule: 729 => 730 (support: 3, confidence: 1.0)
Rule: 832 => 48 (support: 3, confidence: 1.0)
Rule: 840 => 38 (support: 5, confidence: 1.0)
Rule: 561 => 796 (support: 3, confidence: 1.0)
Rule: 848 => 48 (support: 3, confidence: 1.0)
Rule: 865 => 39 (support: 5, confidence: 1.0)
Rule: 914 => 48 (support: 3, confidence: 1.0)
Rule: 924 => 48 (support: 3, confidence: 1.0)
Rule: 32 89 => 39 (support: 4, confidence: 1.0)
Rule: 41 89 => 39 (support: 8, confidence: 1.0)
Rule: 65 89 => 48 (support: 3, confidence: 1.0)
Rule: 958 => 39 (support: 3, confidence: 1.0)
Rule: 38 101 => 39 (support: 5, confidence: 1.0)
Rule: 48 103 => 39 (support: 4, confidence: 1.0)
Rule: 32 105 => 38 (support: 5, confidence: 1.0)
Rule: 39 105 => 38 (support: 7, confidence: 1.0)
Rule: 41 105 => 38 (support: 8, confidence: 1.0)
Rule: 48 108 => 39 (support: 3, confidence: 1.0)
Rule: 39 108 => 48 (support: 3, confidence: 1.0)
Rule: 32 110 => 38 (support: 6, confidence: 1.0)
Rule: 39 110 => 38 (support: 22, confidence: 1.0)
Rule: 41 110 => 38 (support: 14, confidence: 1.0)
Rule: 48 110 => 38 (support: 13, confidence: 1.0)
Rule: 1076 => 1084 (support: 3, confidence: 1.0)
Rule: 1188 => 38 (support: 4, confidence: 1.0)
Rule: 1313 => 48 (support: 4, confidence: 1.0)
Rule: 1355 => 48 (support: 4, confidence: 1.0)
Rule: 1395 => 48 (support: 5, confidence: 1.0)
Rule: 1404 => 48 (support: 4, confidence: 1.0)
Rule: 1430 => 39 (support: 3, confidence: 1.0)
Rule: 1397 => 1025 (support: 3, confidence: 1.0)
Rule: 41 150 => 39 (support: 3, confidence: 1.0)
Rule: 1557 => 39 (support: 4, confidence: 1.0)
Rule: 1590 => 38 (support: 3, confidence: 1.0)
Rule: 1591 => 39 (support: 3, confidence: 1.0)
Rule: 48 156 => 39 (support: 5, confidence: 1.0)
Rule: 1611 => 48 (support: 3, confidence: 1.0)
Rule: 1640 => 48 (support: 3, confidence: 1.0)
Rule: 38 161 => 39 (support: 5, confidence: 1.0)
Rule: 41 161 => 39 (support: 5, confidence: 1.0)
Rule: 48 161 => 39 (support: 4, confidence: 1.0)
Rule: 1698 => 48 (support: 4, confidence: 1.0)
Rule: 1709 => 48 (support: 3, confidence: 1.0)
Rule: 1715 => 39 (support: 5, confidence: 1.0)
Rule: 32 170 => 38 (support: 6, confidence: 1.0)
Rule: 39 170 => 38 (support: 13, confidence: 1.0)
Rule: 41 170 => 38 (support: 12, confidence: 1.0)
Rule: 48 170 => 38 (support: 12, confidence: 1.0)
Rule: 1771 => 39 (support: 3, confidence: 1.0)
Rule: 1789 => 39 (support: 3, confidence: 1.0)
Rule: 1791 => 39 (support: 3, confidence: 1.0)
Rule: 1814 => 48 (support: 4, confidence: 1.0)
